geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
37701,-21.789229916773788,-46.56734866568723,pocos de caldas,MG
37705,-21.807410484621148,-46.54405446639477,pocos de caldas,MG
37713,-21.83204786351477,-46.55914153706292,pocos de caldas,MG
37795,-22.070559830857203,-46.57354543586745,andradas,MG
37775,-22.034147717678362,-46.332530572529926,santa rita de caldas,MG
37714,-21.798317979056026,-46.60043434197688,pocos de caldas,MG
37750,-21.680632756906846,-45.92039473748944,machado,MG
37757,-21.78023329471507,-45.96750955435027,poço fundo,MG
37730,-21.710827550983804,-46.24675111889652,campestre,MG
37706,-21.830712361133852,-46.54947049328048,poços de caldas,MG
37716,-21.79719774617911,-46.58907650194884,pocos de caldas,MG
37740,-21.730195611584474,-46.386204583056596,bandeira do sul,MG
37760,-21.778528814768165,-45.842901183547575,carvalhopolis,MG
37720,-21.64800458020063,-46.39818602714594,botelhos,MG
37718,-21.88129040399997,-46.61625499999997,pocos de caldas,MG
37704,-21.792930127081398,-46.56648701605857,poços de caldas,MG
37780,-21.91325191332625,-46.39306193237529,caldas,MG
37800,-21.306170009770995,-46.71437883624422,guaxupe,MG
37805,-21.253012865162493,-46.578906912169856,juruaia,MG
37810,-21.302851970106836,-46.794000760887734,guaranésia,MG
37880,-21.474113483066013,-46.395619057234434,cabo verde,MG
37815,-19.321724888523093,-48.92200810636418,santa cruz do prata,MG
37820,-21.364023098913517,-46.93974204707033,arceburgo,MG
37855,-21.129835225953844,-46.625872322001754,são pedro da união,MG
37890,-21.369072054810818,-46.52342354120347,muzambinho,MG
37860,-21.10267837439069,-46.42006897555311,nova resende,MG
37980,-20.58277359706591,-46.922185180197836,cássia,MG
37900,-20.71969177654816,-46.60461247475162,passos,MG
37993,-20.621099796616182,-47.05516573685891,capetinga,MG
37910,-20.35335273630025,-46.84264478598427,delfinopolis,MG
37902,-20.72949285948017,-46.61404477592635,passos,MG
37925,-20.46954989821903,-45.96099284289123,piumhi,MG
37928,-20.24325342904852,-46.37876678914314,sao roque de minas,MG
37940,-20.859760646363313,-46.38695197838229,alpinopolis,MG
37960,-20.780638131243403,-47.098617105235014,são tomás de aquino,MG
37997,-20.402210771424148,-47.28558949096743,claraval,MG
37970,-20.744459557158958,-46.86129536070988,pratápolis,MG
37968,-20.995354009501813,-46.79724809279944,monte santo de minas,MG
37950,-20.91399927632339,-46.986071451629854,são sebastião do paraíso,MG
37990,-20.463802386770542,-47.12552612810709,ibiraci,MG
37948,-21.018066848961634,-46.51884494727001,bom jesus da penha,MG
37975,-20.74427248290566,-46.75152727647631,itau de minas,MG
37930,-20.616103640800613,-46.0467071105902,capitólio,MG
37945,-20.71628243129849,-46.316066506853296,são josé da barra,MG
37920,-20.543886919332813,-46.574406824171376,são joão batista do glória,MG
37973,-20.82712208086751,-46.78507393836959,itamogi,MG
37965,-21.018507328487203,-46.74327987744439,jacuí,MG
37903,-20.714607536090814,-46.62745917515883,passos,MG
37901,-20.73624033181748,-46.59897298372703,passos,MG
38040,-19.779069203765236,-47.93777933580008,uberaba,MG
38010,-19.748524964815964,-47.936414060346834,uberaba,MG
38045,-19.774045871586864,-47.95484341367392,uberaba,MG
38017,-19.739989913980228,-47.924643136869996,uberaba,MG
38081,-19.752639607996198,-47.91277830888698,uberaba,MG
38022,-19.759676820527172,-47.939172004456076,uberaba,MG
38071,-19.724313488017177,-47.91678346966512,uberaba,MG
38050,-19.758604209689054,-47.95581048244229,uberaba,MG
38026,-19.76131590734906,-47.92070968933273,uberaba,MG
38055,-19.751037178740894,-47.96723260570104,uberaba,MG
38036,-19.76849530865837,-47.91428575303494,uberaba,MG
38031,-19.772515048578487,-47.929023958968116,uberaba,MG
38073,-19.7350051443018,-47.89334009005046,uberaba,MG
38065,-19.73957023143412,-47.93532663912728,uberaba,MG
38061,-19.74484655676949,-47.95471537219473,uberaba,MG
38067,-19.728684104266932,-47.93589024838244,uberaba,MG
38057,-19.736960305535742,-47.965936359598935,uberaba,MG
38070,-19.73072663910059,-47.92310035160327,uberaba,MG
38080,-19.742145219627126,-47.91441301870347,uberaba,MG
38066,-19.733635183215096,-47.94361065049271,uberaba,MG
38082,-19.749846136289854,-47.89861086332925,uberaba,MG
38072,-19.731353616727336,-47.91320901916238,uberaba,MG
38046,-19.7737697992931,-47.996635642261246,uberaba,MG
38064,-19.709708606923712,-47.9665219557884,uberaba,MG
38037,-19.779895997033456,-47.91372035633053,uberaba,MG
38025,-19.756530622650086,-47.92989441925524,uberaba,MG
38030,-19.767433167212015,-47.93233963157904,uberaba,MG
38051,-19.757297529080812,-47.98267358099266,uberaba,MG
38020,-19.760603333708612,-47.94660706247296,uberaba,MG
38041,-19.78348157495845,-47.92348920538463,uberaba,MG
38060,-19.7459141799209,-47.94517115808781,uberaba,MG
38015,-19.747997981234434,-47.92623985005464,uberaba,MG
38056,-19.734863713055756,-47.986899536873786,uberaba,MG
38035,-19.763041450663216,-47.89977887268066,uberaba,MG
38175,-19.313632249206382,-47.529106823192336,santa juliana,MG
38181,-19.57530481973937,-46.932031561115764,araxá,MG
38195,-19.9324425614557,-47.55283005574778,conquista,MG
38183,-19.59646057719393,-46.93744968977466,araxá,MG
38110,-20.05779181703596,-48.10811794228084,agua comprida,MG
38182,-19.60524968058031,-46.92584512801828,araxá,MG
38140,-19.306818861925578,-48.922457680309485,prata,MG
38150,-19.668619104525895,-48.30952073961403,veríssimo,MG
38160,-19.48633107698278,-46.61115405369023,nova ponte,MG
38178,-19.228275386210633,-47.46457189115116,pedrinopolis,MG
38170,-19.361895231503144,-47.28444658165653,perdizes,MG
38120,-19.920926340183396,-48.37500192645632,conceicao das alagoas,MG
38130,-19.76241712969078,-48.575045423652085,campo florido,MG
38190,-19.869696427994118,-47.44442516986498,sacramento,MG
38184,-19.601322878841952,-46.94482585411009,araxa,MG
38180,-19.582120721279416,-46.95384082596175,araxa,MG
38280,-19.729620089796292,-50.1994321990289,iturama,MG
38200,-20.02689356847736,-48.93338045246046,frutal,MG
38220,-20.13798543452689,-48.702332607316,planura,MG
38240,-19.900800585847936,-49.36873038231209,itapagipe,MG
38295,-19.548007488475964,-50.58060771131944,limeira do oeste mg,MG
38282,-19.70174686907833,-50.424531445044394,alexandrita,MG
38290,-19.712181671469136,-50.721251125358904,carneirinho,MG
